@relation result_new_train4_win

@attribute AVRAGE numeric
@attribute Dealer1 numeric
@attribute PlayerSum numeric
@attribute HITorSTAND {S,H}

@data
7.7,2,16,S
7.53,10,15,S
8.12,6,14,S
7.3,10,19,S
7.91,9,12,S
7.91,9,10,H
7.55,3,12,H
7.71,5,17,S
7.17,8,11,S
7.21,6,20,S
7.21,6,6,H
7.43,10,13,S
8.23,5,20,S
8.23,5,17,H
7.63,11,15,S
7.63,11,15,H
6.33,10,7,S
7.19,7,7,S
7.19,7,11,H
7.62,11,12,S
7.62,11,12,H
6.93,10,11,H
6.87,6,20,S
6.87,6,10,H
7.52,7,19,S
6.44,10,12,S
6.44,10,15,H
7.22,3,13,S
6.56,11,20,S
7.74,10,12,S
7.77,2,20,S
7.44,3,9,H
6.63,10,10,S
6.63,10,16,H
7.42,9,20,S
7.03,7,17,S
7.75,9,16,H
6.76,10,13,H
6.21,5,15,S
6.21,5,11,H
7.79,10,20,S
7.79,10,14,H
7.59,3,15,S
7.59,3,7,H
6.17,4,11,S
6.17,4,8,H
7.81,10,16,H
7.9,4,13,S
6.58,7,16,H
7.01,7,16,S
7.01,7,8,H
7.84,8,18,S
7.3,10,12,S
7.3,10,12,H
7.54,9,12,S
7.4,10,20,S
7.09,10,20,S
7.89,2,20,S
7.76,4,12,S
7.76,4,13,H
7.69,10,13,H
6.8,7,6,S
6.8,7,14,H
6.69,10,17,H
7.28,6,15,S
7.28,6,18,H
7.65,3,13,S
7.65,3,17,H
6.11,3,20,S
7.13,4,18,S
6.8,7,17,H
6.4,4,12,S
6.4,4,13,H
7.02,11,12,S
7.22,10,16,S
7.22,10,7,H
7.39,10,10,S
7.39,10,9,H
6.41,6,15,H
7.16,10,16,S
6.63,10,20,S
6.63,10,15,H
7.29,8,14,S
7.29,8,6,H
7.57,10,20,S
8.02,2,10,H
7.9,4,7,S
7.9,4,8,H
6.97,2,14,H
7.52,3,20,S
7.52,3,16,H
6.76,9,19,S
6.48,6,16,H
6.63,10,13,H
7.31,9,20,S
6.57,8,19,S
7.15,7,20,S
8.14,6,18,S
8.14,6,11,H
6.75,6,7,S
7.28,9,14,S
7.28,9,14,H
7.94,10,15,S
7.91,11,13,S
7.46,7,20,S
7.85,10,7,H
7.32,3,19,S
7.02,5,13,S
7.52,2,8,H
7.12,4,19,S
7.89,6,11,H
6.98,4,18,S
6.57,8,17,H
6.81,8,20,S
7.03,2,7,S
7.65,8,15,S
7.65,8,12,H
6.77,7,14,H
7.22,3,15,S
7.22,3,12,H
8.1,3,20,S
7.56,10,8,S
7.86,3,11,H
7.96,6,18,S
7.41,8,20,S
6.98,11,14,S
7.4,9,16,H
8.57,10,19,S
7.73,11,20,S
7.73,11,16,H
7.05,3,20,S
6.53,10,13,S
7.57,7,18,S
7.2,4,4,S
7.2,4,14,H
7.2,9,18,S
7.23,11,20,S
7.23,11,18,H
7.43,2,19,S
7.28,6,18,S
7.28,6,12,H
7.5,10,16,S
7.5,10,12,H
7.21,6,15,S
7.21,6,18,H
6.83,6,19,S
7.63,4,20,S
7.63,10,13,S
7.63,10,13,H
7.39,6,20,S
7.39,6,12,H
7.87,6,5,S
7.87,6,16,H
6.59,7,20,S
8.24,4,16,H
7.63,11,11,S
6.67,9,12,S
6.67,9,8,H
7.03,2,14,S
6.7,8,8,S
6.7,8,8,H
6.61,7,16,H
7.32,3,14,S
7.32,3,14,H
7.32,8,20,S
7.14,11,20,S
7.14,11,12,H
6.86,4,20,S
7.39,10,20,S
7.39,10,9,H
6.86,5,20,S
7.22,6,14,S
7.22,6,6,H
6.98,5,19,S
6.98,5,18,H
8.68,11,14,H
7.45,8,20,S
7.45,8,5,H
7.3,2,17,S
7.65,10,20,S
6.89,4,16,S
6.89,4,8,H
7.07,10,11,S
7.97,4,19,S
7.68,11,12,H
7.09,9,14,S
7.09,9,11,H
7.49,2,20,S
7.39,11,7,S
8,11,15,S
7.02,10,20,S
7.64,6,18,S
7.64,6,14,H
6.64,10,11,H
7.17,7,17,S
6.85,3,20,S
6.85,3,9,H
6.24,10,11,H
7.49,10,20,S
7.29,10,19,S
7.88,7,11,S
7.94,9,16,H
8.45,10,20,S
7.98,5,20,S
7.98,5,10,H
7.88,5,20,S
7.88,5,9,H
7.87,10,6,S
7.87,10,9,H
6.98,7,20,S
6.98,7,9,H
7.08,3,18,S
7.08,3,18,H
6.88,10,11,H
7.18,6,17,S
6.91,8,15,S
7.51,5,17,S
7.51,5,11,H
6.96,3,17,S
6.96,3,13,H
8.04,10,12,S
8.11,10,19,S
8.03,11,19,S
7.38,4,9,S
7.38,4,12,H
7.08,3,20,S
7.9,10,19,H
8.09,7,16,S
6.43,7,18,S
7.09,5,14,S
7.02,7,18,S
7.02,9,14,S
5.93,6,11,S
7.69,8,12,S
7.65,3,11,H
7.78,5,12,S
7.78,5,14,H
7.27,7,17,S
7.27,7,15,H
6.72,6,10,S
7.87,3,16,S
7.66,8,16,S
7.05,10,13,H
7,10,17,S
6.88,6,20,S
6.44,4,13,S
6.44,4,8,H
7.77,6,18,S
7.77,6,12,H
6.55,2,10,S
7.02,3,20,S
7.02,3,10,H
7.88,7,20,S
6.25,2,12,H
5.96,4,8,S
5.96,4,9,H
7.95,5,17,S
6.1,9,20,S
7.38,10,12,S
7.38,10,17,H
8.07,3,20,S
7.37,11,6,S
7.61,5,12,H
6.27,8,14,S
7.06,10,14,S
7.82,9,16,S
7.82,9,10,H
7.41,10,7,S
6.75,2,9,S
7.89,8,15,S
7.89,8,16,H
7.57,3,19,S
8.31,6,14,S
8.27,9,20,S
7.57,5,14,S
7.57,5,19,H
7.47,10,13,S
7.19,2,20,S
8.58,5,14,S
7.72,9,20,S
7.72,9,16,H
7.91,8,13,H
7.58,9,15,S
7.13,3,18,S
7.19,11,16,S
7.05,5,20,S
7.05,5,12,H
7.06,2,13,S
7.99,10,14,S
6.52,4,10,S
6.52,4,13,H
6.56,6,14,S
6.56,6,12,H
7.38,10,9,S
7.38,10,11,H
6.97,5,19,S
6.65,10,17,S
6.65,10,11,H
7.08,7,18,S
7.08,7,8,H
8.17,11,17,H
7.19,7,17,S
7.45,7,16,S
7.48,10,12,S
6.34,2,8,S
6.34,2,8,H
7.67,11,12,H
7.01,2,9,H
7.33,3,14,S
7.33,3,9,H
7.11,4,15,S
6.82,10,14,S
7.13,7,20,S
8.13,5,15,S
7,4,11,H
7.51,5,12,S
6.8,10,15,S
7.03,10,14,H
6.52,4,13,S
7.07,11,14,S
7.61,10,20,S
6.88,10,13,S
7.9,5,16,S
8.01,2,17,S
8.01,2,15,H
8.08,9,16,S
8.08,9,10,H
7.35,11,13,S
7.95,10,12,S
7.95,10,9,H
7.62,5,20,S
6.82,8,12,S
6.82,8,6,H
7.4,3,14,H
7.56,10,13,H
7.68,4,19,S
7.68,4,13,H
6.9,10,18,S
7.22,7,18,S
7.22,7,18,H
7.04,10,12,S
7.1,2,18,S
7.1,2,12,H
7.36,10,13,S
7.01,8,10,S
7.1,10,12,S
7.1,10,16,H
7.7,5,20,S
7.06,9,8,S
7.06,9,13,H
7.52,10,20,S
7.5,10,14,S
7.5,10,14,H
7.61,4,13,S
7.61,4,14,H
7.19,5,11,H
7.49,7,13,H
7.17,6,19,S
7.53,3,7,S
7.23,10,20,S
6.52,4,8,S
6.55,7,14,H
7.31,9,18,S
6.72,5,20,S
7.44,6,14,S
7.44,6,11,H
7.87,6,17,S
7.87,6,14,H
6.94,10,18,S
6.59,7,16,S
7.63,8,17,S
7.63,8,11,H
8.32,2,13,S
8.32,2,8,H
6.74,10,14,H
8.02,5,17,S
7.15,5,10,H
7.07,10,20,S
7.64,2,20,S
7.04,8,11,S
8.18,6,11,S
8.18,6,12,H
6.45,9,15,S
7.42,9,17,H
7.57,5,19,S
7.08,8,19,S
7.71,5,20,S
7.03,5,13,S
7.26,5,12,S
7.26,5,11,H
8.03,10,20,S
6.92,10,18,S
7.66,2,20,S
7.66,2,17,H
7.07,6,20,S
7.07,6,14,H
7.07,6,17,S
7.07,6,13,H
7.29,10,19,S
7.29,10,16,H
7.15,5,19,S
7.15,5,10,H
7.04,6,20,S
7.38,8,13,S
7.43,4,17,H
7.38,7,14,S
6.83,5,15,H
7.47,9,13,S
7.47,9,13,H
7.8,7,20,S
7.8,7,12,H
7.5,6,18,S
7.5,6,15,H
7.04,2,15,S
6.33,7,17,H
6.4,11,10,S
6.4,11,10,H
7.3,10,13,S
7.18,5,12,S
7.45,4,20,S
6.47,10,19,S
6.73,8,15,H
7.1,10,12,S
8.53,8,16,S
8.53,8,9,H
7.18,5,12,S
7.61,3,13,S
7.61,3,9,H
6.95,9,12,H
7.48,3,18,S
7.48,3,13,H
8.03,7,20,S
6.51,3,15,S
7.35,9,20,S
7.35,9,13,H
7.54,11,8,S
7.4,10,16,H
7.43,5,20,S
7.16,2,20,S
7.87,11,20,S
7.87,11,14,H
7.28,7,8,H
7.09,10,20,S
7.09,10,13,H
6.23,5,8,S
6.23,5,14,H
6.8,10,7,S
6.8,10,16,H
6.8,7,13,S
6.8,7,16,H
7.17,10,16,S
7.7,3,12,S
6.12,4,10,S
6.12,4,13,H
7.83,10,11,H
7.51,5,17,S
7.53,5,11,H
7.38,3,19,S
7.45,10,13,S
8.53,2,15,S
6.94,10,6,S
6.94,10,15,H
7.87,6,17,H
7.67,5,17,S
7.86,5,10,S
7.27,11,15,S
7.27,11,10,H
6.57,3,11,S
6.57,3,11,H
7.76,9,16,S
7.76,9,17,H
7.47,3,5,S
7.42,6,20,S
7.42,6,11,H
7.02,10,20,S
8.24,10,15,H
7.67,3,13,S
8.22,10,20,S
6.42,11,16,H
7.59,7,11,S
7.59,7,13,H
7.18,6,13,S
7.18,6,15,H
7.2,6,7,S
7.2,6,13,H
7.51,5,19,S
7.4,6,15,H
7.2,3,10,S
7.34,10,20,S
7.57,8,14,H
7.82,7,17,S
7.82,7,7,H
7.37,2,10,S
7.12,2,18,S
8.46,10,10,S
7.71,7,14,H
7.48,6,15,S
7.21,8,9,H
8.13,7,19,S
7.38,11,20,S
7.07,5,12,H
7.69,6,14,S
6.75,11,19,S
7.62,10,13,S
7.31,7,9,S
7.31,7,6,H
7.91,5,16,S
8.14,7,18,S
6.92,6,6,S
8.35,5,11,S
8.35,5,9,H
6.71,2,9,S
6.71,2,5,H
7.41,10,18,S
8.26,7,14,S
8.26,7,5,H
7.89,7,19,S
6.81,10,18,H
6.76,11,7,S
6.76,11,11,H
7.54,9,11,H
7.28,3,19,S
7.22,3,18,S
7.22,3,6,H
7.16,2,13,H
7.56,7,13,S
6.73,8,20,S
6.73,8,12,H
7.48,9,20,S
8,8,13,S
8.74,4,16,H
7.34,11,14,S
7.34,11,14,H
6.84,6,16,S
6.84,6,16,H
7.64,10,19,S
7.63,8,13,S
7.02,8,15,S
7.02,8,14,H
6.96,10,11,H
6.34,11,11,S
6.34,11,4,H
6.47,4,10,H
6.84,8,13,S
7.33,8,16,S
7.33,8,9,H
6.76,5,19,S
7.03,2,20,S
7.03,2,14,H
7.8,5,12,S
7.8,5,8,H
7.19,3,8,S
7.19,3,11,H
6.33,5,9,S
7.95,4,14,S
6.86,7,14,S
7.61,5,20,S
7.41,5,14,S
7.53,3,17,S
7.53,3,12,H
7.5,10,20,S
7.5,10,19,H
6.91,4,13,S
