dealer,player,handtype,action,Q-value
1, 10, 0, 1, 0.0
1, 10, 1, 0, 0.0
1, 10, 1, 1, 0.0
1, 11, 0, 0, 0.0
1, 11, 0, 1, 0.0
1, 11, 1, 0, 0.0
1, 11, 1, 1, 0.0
1, 12, 0, 0, 0.0
1, 12, 0, 1, 0.0
1, 12, 1, 0, 0.0
1, 12, 1, 1, 0.0
1, 13, 0, 0, 0.0
1, 13, 0, 1, 0.0
1, 13, 1, 0, 0.0
1, 13, 1, 1, 0.0
1, 14, 0, 0, 0.0
1, 14, 0, 1, 0.0
1, 14, 1, 0, 0.0
1, 14, 1, 1, 0.0
1, 15, 0, 0, 0.0
1, 15, 0, 1, 0.0
1, 15, 1, 0, 0.0
1, 15, 1, 1, 0.0
1, 16, 0, 0, 0.0
1, 16, 0, 1, 0.0
1, 16, 1, 0, 0.0
1, 16, 1, 1, 0.0
1, 17, 0, 0, 0.0
1, 17, 0, 1, 0.0
1, 17, 1, 0, 0.0
1, 17, 1, 1, 0.0
1, 18, 0, 0, 0.0
1, 18, 0, 1, 0.0
1, 18, 1, 0, 0.0
1, 18, 1, 1, 0.0
1, 19, 0, 0, 0.0
1, 19, 0, 1, 0.0
1, 19, 1, 0, 0.0
1, 19, 1, 1, 0.0
1, 20, 0, 0, 0.0
1, 20, 0, 1, 0.0
1, 20, 1, 0, 0.0
1, 20, 1, 1, 0.0
1, 21, 0, 0, 700.0
1, 21, 0, 1, 0.0
1, 21, 1, 0, 700.0
1, 21, 1, 1, 0.0
1, 22, 0, 0, -100.0
1, 22, 0, 1, -100.0
1, 22, 1, 0, -100.0
1, 22, 1, 1, -100.0
2, 0, 0, 0, 0.0
2, 0, 0, 1, 0.0
2, 0, 1, 0, 0.0
2, 0, 1, 1, 0.0
2, 1, 0, 0, 0.0
2, 1, 0, 1, 0.0
2, 1, 1, 0, 0.0
2, 1, 1, 1, 0.0
2, 2, 0, 0, 0.0
2, 2, 0, 1, 0.0
2, 2, 1, 0, 0.0
2, 2, 1, 1, 0.0
2, 3, 0, 0, 0.0
2, 3, 0, 1, 0.0
2, 3, 1, 0, 0.0
2, 3, 1, 1, 0.0
2, 4, 0, 0, 0.0
2, 4, 0, 1, 0.0
2, 4, 1, 0, 1834.594991775819
2, 4, 1, 1, 1906.6358467897867
2, 5, 0, 0, 0.0
2, 5, 0, 1, 0.0
2, 5, 1, 0, 1875.2297593178007
2, 5, 1, 1, 1896.2579662391156
2, 6, 0, 0, 0.0
2, 6, 0, 1, 0.0
2, 6, 1, 0, 1848.6482149452358
2, 6, 1, 1, 1882.8735308569046
2, 7, 0, 0, 0.0
2, 7, 0, 1, 0.0
2, 7, 1, 0, 1909.715956409148
2, 7, 1, 1, 1947.3675135840404
2, 8, 0, 0, 0.0
2, 8, 0, 1, 0.0
2, 8, 1, 0, 2225.1060436854104
2, 8, 1, 1, 2278.4742940956594
2, 9, 0, 0, 0.0
2, 9, 0, 1, 0.0
2, 9, 1, 0, 2550.5724707485365
2, 9, 1, 1, 2601.962290094943
2, 10, 0, 0, 0.0
2, 10, 0, 1, 0.0
2, 10, 1, 0, 3029.0623519727706
2, 10, 1, 1, 3191.3019428358316
2, 11, 0, 0, 0.0
2, 11, 0, 1, 0.0
2, 11, 1, 0, 1966.5672827811138
2, 11, 1, 1, 2017.6961541320102
2, 12, 0, 0, 2546.659023548155
2, 12, 0, 1, 2762.5748768416406
2, 12, 1, 0, 1834.631108519461
2, 12, 1, 1, 1584.3609597632224
2, 13, 0, 0, 2573.1667891197594
2, 13, 0, 1, 2679.8995737048003
2, 13, 1, 0, 1849.1840358695133
2, 13, 1, 1, 1407.251218611887
2, 14, 0, 0, 2563.904049158562
2, 14, 0, 1, 2642.465210942422
2, 14, 1, 0, 1857.2279500357695
2, 14, 1, 1, 1256.275903593888
2, 15, 0, 0, 2484.631378149513
2, 15, 0, 1, 2564.6168370220744
2, 15, 1, 0, 1844.094473356615
2, 15, 1, 1, 1115.1854232789844
