@RELATION burstmodel
@ATTRIBUTE dealer-1 string
@ATTRIBUTE dealer-2 string
@ATTRIBUTE player1-1 string
@ATTRIBUTE player1-2 string
@ATTRIBUTE player2-1 string
@ATTRIBUTE player2-2 string
@ATTRIBUTE player3-1 string
@ATTRIBUTE player3-2 string
@ATTRIBUTE player4-1 string
@ATTRIBUTE player4-2 string
@ATTRIBUTE total numeric
@ATTRIBUTE result {burst, non-burst}
@DATA
TEN,THREE,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,12,non-burst
TEN,THREE,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,9,non-burst
TEN,THREE,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,12,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,6,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,8,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,14,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,11,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,12,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,14,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,13,non-burst
NINE,THREE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,15,non-burst
NINE,ACE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,16,non-burst
NINE,ACE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,13,non-burst
NINE,ACE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,7,non-burst
NINE,ACE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,9,non-burst
NINE,ACE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,12,non-burst
EIGHT,FIVE,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,10,non-burst
EIGHT,FIVE,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,13,non-burst
EIGHT,FIVE,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,11,non-burst
EIGHT,FIVE,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,13,non-burst
EIGHT,FIVE,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,12,non-burst
SEVEN,JACK,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,13,non-burst
SEVEN,JACK,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,16,non-burst
SEVEN,JACK,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,5,non-burst
SEVEN,JACK,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,15,non-burst
SIX,SIX,JACK,ACE,SIX,QUEEN,THREE,KING,EIGHT,EIGHT,16,non-burst
SIX,SIX,JACK,ACE,SIX,QUEEN,THREE,KING,EIGHT,EIGHT,13,non-burst
SIX,SIX,JACK,ACE,SIX,QUEEN,THREE,KING,EIGHT,EIGHT,16,non-burst
KING,QUEEN,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,9,non-burst
KING,QUEEN,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,13,non-burst
KING,QUEEN,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,6,non-burst
KING,QUEEN,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,16,non-burst
JACK,ACE,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,13,non-burst
JACK,ACE,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,15,non-burst
JACK,ACE,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,10,non-burst
JACK,ACE,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,13,non-burst
FOUR,SIX,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,16,non-burst
FOUR,SIX,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,12,non-burst
FOUR,SIX,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,14,non-burst
FOUR,SIX,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,15,non-burst
FOUR,SIX,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,7,non-burst
FOUR,SIX,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,16,non-burst
SEVEN,TEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,7,non-burst
SEVEN,TEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,16,non-burst
SEVEN,TEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,13,non-burst
SEVEN,TEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,13,non-burst
ACE,THREE,TEN,NINE,FIVE,FIVE,JACK,TWO,TWO,JACK,10,non-burst
ACE,THREE,TEN,NINE,FIVE,FIVE,JACK,TWO,TWO,JACK,12,non-burst
ACE,THREE,TEN,NINE,FIVE,FIVE,JACK,TWO,TWO,JACK,12,non-burst
TEN,THREE,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,6,non-burst
TEN,THREE,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,16,non-burst
TEN,THREE,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,12,non-burst
TEN,THREE,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,14,non-burst
TEN,THREE,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,13,non-burst
FOUR,SIX,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,16,non-burst
FOUR,SIX,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,15,non-burst
FOUR,SIX,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,16,non-burst
FOUR,SIX,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,15,non-burst
QUEEN,ACE,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,15,non-burst
QUEEN,ACE,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,12,non-burst
QUEEN,ACE,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,14,non-burst
QUEEN,ACE,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,11,non-burst
JACK,SIX,SIX,ACE,JACK,TWO,KING,NINE,TWO,QUEEN,12,non-burst
JACK,SIX,SIX,ACE,JACK,TWO,KING,NINE,TWO,QUEEN,12,non-burst
TEN,THREE,FOUR,EIGHT,EIGHT,FOUR,TWO,JACK,QUEEN,QUEEN,12,non-burst
TEN,THREE,FOUR,EIGHT,EIGHT,FOUR,TWO,JACK,QUEEN,QUEEN,12,non-burst
TEN,THREE,FOUR,EIGHT,EIGHT,FOUR,TWO,JACK,QUEEN,QUEEN,12,non-burst
NINE,NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,8,non-burst
NINE,NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,8,non-burst
NINE,NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,12,non-burst
NINE,NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,6,non-burst
NINE,NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,8,non-burst
NINE,NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,7,non-burst
NINE,NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,10,non-burst
QUEEN,EIGHT,QUEEN,KING,ACE,SEVEN,TEN,EIGHT,FOUR,TEN,14,non-burst
EIGHT,NINE,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,12,non-burst
